,url,product_code,tltle,price_discount,price_main,stock,Крепость,Бренд,Сорта винограда,Регион,Вино,Насыщенность,Объем,Глубина цвета,Производитель,Сайт производителя,Подходит к,Температура сервировки,Вкус,product_type,Сайт бренда,Потенциал хранения,Страна производства,Органическое,Биодинамическое,Игристое вино/шампанское,Разновидность
0,https://winestyle.ru/products/Alma-Valley-Pique-Nique-Red-Semi-Dry-2023.html,Артикул: в251027,"Альма Валей, ""Пикник"" Красное Полусухое, 2023, 750 мл",799 ₽,939 ₽,in_stock,13.5 %,Pique-Nique,Сира; Пино Нуар,Россия; Крым,Красное; Полусухое,среднее,0.75 л,тёмное,Alma Valley,http://alma-valley.ru/,аперитив; десерты; шоколад; пикник; фруктовый десерт,16–18 °С,свежий; ягоды; приятный; терпкий; долгий/продолжительный,wine,,,,,,,
1,https://winestyle.ru/products/Chateau-Tamagne-Krasnostop-de-Tamagne.html,Артикул: в59018,"Шато Тамань, Красностоп, 750 мл",,649 ₽,in_stock,13 %,Chateau Tamagne,Красностоп Анапский,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,тёмное,Кубань-Вино,http://kuban-vino.ru/,мясо; сыры,14–16 °С,свежий; черная смородина; чернослив; богатый; насыщенный/интенсивный,wine,https://chateautamagne.ru,,,,,,
2,https://winestyle.ru/products/Fanagoria-Zelenoe-Vino-Riesling-Tsitronnyy-Magaracha-Merlot.html,Артикул: в210110,"Fanagoria, ""Zelenoe Vino"" Riesling-Tsitronnyy Magaracha-Merlot, 750 мл",,629 ₽,in_stock,10 %,Зеленое Вино,Рислинг; Цитронный Магарача; Мерло,Россия; Краснодарский край,Розовое; Полусухое,лёгкое,0.75 л,светлое,Фанагория,http://www.fanagoria.ru/,рыба; белое мясо; морепродукты/дары моря; ягодный десерт,8–10 °C,фруктовый; свежий; сочный; ягоды; долгий/продолжительный; кислинка,wine,,,,,,,
3,https://winestyle.ru/products/Massandra-Port-red-Livadia.html,Артикул: в28425,"Massandra, Port red ""Livadia"", 750 мл",799 ₽,920 ₽,in_stock,18.5 %,,Каберне Совиньон,Россия; Крым,Портвейн; Сладкое,среднее,0.75 л,тёмное,Массандра,http://massandra.su/,десерты; дижестив; голубой сыр; шоколад; орехи,16–18 °С,вишня; сбалансированный; гармоничный; долгий/продолжительный; шелковистый; вишневая косточка,wine,,,,,,,
4,https://winestyle.ru/products/Alma-Valley-Pique-Nique-White-Semi-Dry-2023.html,Артикул: в251041,"""Пикник"" Белое полусухое, 2023, 750 мл",799 ₽,939 ₽,in_stock,13.5 %,Pique-Nique,Коломбар; Ркацители,Россия; Крым,Белое; Полусухое,лёгкое,0.75 л,светлое,Alma Valley,http://alma-valley.ru/,рыба; аперитив; закуски; холодные закуски,9-12 °С,фруктовый; легкое; приятный; сбалансированный; освежающий,wine,,,,,,,
5,https://winestyle.ru/products/Fanagoria-F-Style-Cabernet.html,Артикул: в116423,"""Ф-Стиль"" Каберне, 750 мл",,539 ₽,in_stock,13.5 %,F-Style,Каберне Совиньон,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,тёмное,Фанагория,http://www.fanagoria.ru/,мясо; свинина; пицца; говядина,14–16 °С,фруктовый; насыщенный/интенсивный; приятный; терпкий; долгий/продолжительный,wine,,,,,,,
6,https://winestyle.ru/products/Massandra-Muscat-White-Red-Stone.html,Артикул: в28326,"Massandra, Muscat White ""Red Stone"", 750 мл",,1 290 ₽,in_stock,13 %,,Москато Бьянко,Россия; Крым,Белое; Сладкое,среднее,0.75 л,умеренное,Массандра,http://massandra.su/,десерты; дижестив; пирог; выпечка; голубой сыр; пирожные; шоколад; сухофрукты,10–12 °С,свежий; цитрусовые; мягкий; гармоничный; долгий/продолжительный; нежный; изысканный/элегантный; бархатистый,wine,,,,,,,
7,https://winestyle.ru/products/Solnechnaya-Dolina-Chernyj-Doctor-Solnechnoy-Doliny.html,Артикул: в59013,"Solnechnaya Dolina, ""Chernyj Doctor Solnechnoy Doliny"", 750 мл",,2 820 ₽,in_stock,16 %,,Джеват-Кара; Кефесия; Эким-Кара,Россия; Крым,Десертное; Сладкое,среднее,0.75 л,насыщенное,Солнечная Долина,http://sunvalley1888.ru/,десерты; дижестив; голубой сыр; шоколад; орехи; горький шоколад,16–18 °С,сливки; сухофрукты; какао; сбалансированный; терпкий; долгий/продолжительный; тутовник/шелковица; бархатистый,wine,,,,,,,
8,https://winestyle.ru/products/Golubitskoe-Estate-Merlot-2022.html,Артикул: в239412,"Поместье Голубицкое, Мерло, 2022, 750 мл",949 ₽,1 790 ₽,in_stock,13.5 %,,Мерло,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,тёмное,Golubitskoe Estate / Villa Romanov,http://golubitskoe-estate.ru/,мясо; салат; грибы; овощи; печень; соус,18–20 °С,фруктовый; цветочный; пряный/острый; округлый; насыщенный/интенсивный; долгий/продолжительный; тонкий,wine,,,,,,,
9,https://winestyle.ru/products/Solnechnaya-Dolina-White-Dry-Limited-Edition.html,Артикул: в197094,"""Solnechnaya Dolina"" White Dry, Limited Edition, 750 мл",,539 ₽,in_stock,12 %,,Алиготе; Ркацители; Кокур,Россия; Крым,Белое; Сухое,лёгкое,0.75 л,светлое,Солнечная Долина,http://sunvalley1888.ru/,рыба; белое мясо; морепродукты/дары моря; паста; овощи,10–12 °С,фруктовый; цветочный; свежий; сухой; легкое; приятный; гармоничный,wine,,,,,,,
