,url,product_code,tltle,price_main,stock,Крепость,Бренд,Сорта винограда,Регион,Вино,Насыщенность,Объем,Глубина цвета,Производитель,Сайт производителя,Подходит к,Температура сервировки,Вкус,product_type,price_discount,Сайт бренда,Потенциал хранения,Страна производства,Органическое,Биодинамическое,Игристое вино/шампанское,Разновидность
0,https://winestyle.ru/products/Fanagoria-F-Style-Cabernet.html,Артикул: в116423,"""Ф-Стиль"" Каберне, 750 мл",539 ₽,in_stock,13.5 %,F-Style,Каберне Совиньон,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,тёмное,Фанагория,http://www.fanagoria.ru/,мясо; свинина; пицца; говядина,14–16 °С,фруктовый; насыщенный/интенсивный; приятный; терпкий; долгий/продолжительный,wine,,,,,,,,
1,https://winestyle.ru/products/Massandra-Port-red-Livadia.html,Артикул: в28425,"Massandra, Port red ""Livadia"", 750 мл",920 ₽,in_stock,18.5 %,,Каберне Совиньон,Россия; Крым,Портвейн; Сладкое,среднее,0.75 л,тёмное,Массандра,http://massandra.su/,десерты; дижестив; голубой сыр; шоколад; орехи,16–18 °С,вишня; сбалансированный; гармоничный; долгий/продолжительный; шелковистый; вишневая косточка,wine,,,,,,,,
2,https://winestyle.ru/products/Massandra-Muskatel-Black.html,Артикул: в44637,"Massandra, Muskatel Black, 750 мл",710 ₽,in_stock,16 %,,Мускатные сорта винограда; Другие сорта,Россия; Крым,Красное; Сладкое,среднее,0.75 л,насыщенное,Массандра,http://massandra.su/,десерты; дижестив; пирог; голубой сыр; сухофрукты,12–14 °С,чернослив; мягкий; насыщенный/интенсивный,wine,,,,,,,,
3,https://winestyle.ru/products/Massandra-Muscat-White-Red-Stone.html,Артикул: в28326,"Massandra, Muscat White ""Red Stone"", 750 мл",1 270 ₽,in_stock,13 %,,Москато Бьянко,Россия; Крым,Белое; Сладкое,среднее,0.75 л,умеренное,Массандра,http://massandra.su/,десерты; дижестив; пирог; выпечка; голубой сыр; пирожные; шоколад; сухофрукты,10–12 °С,свежий; цитрусовые; мягкий; гармоничный; долгий/продолжительный; нежный; изысканный/элегантный; бархатистый,wine,,,,,,,,
4,https://winestyle.ru/products/Solnechnaya-Dolina-Chernyj-Polkovnik.html,Артикул: в59010,"Solnechnaya Dolina, ""Chernyj Polkovnik"", 750 мл",1 409 ₽,in_stock,17.5 %,,Бастардо Магарачский; Кефесия; Одесский Черный; Эким-Кара; Джеват-Кара; Каберне Совиньон,Россия; Крым,Крепленое; Сладкое,полнотелое,0.75 л,тёмное,Солнечная Долина,http://sunvalley1888.ru/,десерты; дижестив; стейк; мясо на гриле; зрелые/выдержанные сыры; мясо под соусом,16–18 °С,свежий; шоколад; спелые фрукты; богатый; насыщенный/интенсивный; терпкий; долгий/продолжительный; мощный,wine,,,,,,,,
5,https://winestyle.ru/products/Golubitskoe-Estate-Riesling-2023.html,Артикул: в235148,"Поместье Голубицкое, Рислинг, 2023, 750 мл",1 790 ₽,in_stock,12.5 %,,Рислинг,Россия; Краснодарский край,Белое; Сухое,среднее,0.75 л,светлое,Golubitskoe Estate / Villa Romanov,http://golubitskoe-estate.ru/,рыба; белое мясо; салат; морская рыба,10–12 °С,сочный; цитрусовые; виноград; приятный; освежающий; долгий/продолжительный; кислинка,wine,999 ₽,,,,,,,
6,https://winestyle.ru/products/Golubitskoe-Estate-Merlot-2022.html,Артикул: в239412,"Поместье Голубицкое, Мерло, 2022, 750 мл",1 790 ₽,in_stock,13.5 %,,Мерло,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,тёмное,Golubitskoe Estate / Villa Romanov,http://golubitskoe-estate.ru/,мясо; салат; грибы; овощи; печень; соус,18–20 °С,фруктовый; цветочный; пряный/острый; округлый; насыщенный/интенсивный; долгий/продолжительный; тонкий,wine,949 ₽,,,,,,,
7,https://winestyle.ru/products/Chateau-Tamagne-Select-Rouge-750.html,Артикул: в72592,"""Шато Тамань"" Селект Руж, 750 мл",699 ₽,in_stock,12.5 %,Chateau Tamagne; Селект,Саперави; Каберне Совиньон,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,насыщенное,Кубань-Вино,http://kuban-vino.ru/,белое мясо; овощи гриль,15 °С,свежий; сочный; вишня; чернослив; округлый; насыщенный/интенсивный; гармоничный; фруктовая кислинка,wine,,https://chateautamagne.ru,,,,,,
8,https://winestyle.ru/products/Aristov-Ancelotta.html,Артикул: в117975,"""Аристов"" Анчеллотта, 750 мл",539 ₽,in_stock,12 %,Aristov,Анчеллотта,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,насыщенное,Кубань-Вино,http://kuban-vino.ru/,красное мясо; сыры; зрелые/выдержанные сыры,14–16 °С,сочный; плотный; долгий/продолжительный; бархатистый; вяжущий; густой,wine,,https://aristovwine.ru,,,,,,
9,https://winestyle.ru/products/Valery-Zaharin-Avtorskoe-Vino-Sauvignon-Blanc.html,Артикул: в218890,"Valery Zaharin, ""Avtorskoe Vino"" Sauvignon Blanc, 750 мл",709 ₽,in_stock,12 %,Валерий Захарьин; Авторское Вино,Совиньон Блан,Россия; Крым,Белое; Сухое,лёгкое,0.75 л,светлое,Бурлюк,https://burluk-winery.com,рыба; аперитив; морепродукты/дары моря; салат,10–12 °С,фруктовый; свежий; сухой; легкое; приятный; сбалансированный,wine,,https://valeryzaharin.com/,,,,,,
